No,Kategori,"Kode Produk","Nama Produk",Lokasi,Deskripsi,"Harga Pokok","Harga Jual","Harga Grosir","Minimal Grosir",Stok,"Stok Jumlah",Dijual,Online,Satuan,"Nama Satuan",Varian,"Nama Varian","Harga Online","Harga Online Sebelum Promo","Berat (Gram)",Diskon,"Limit Stok"
1,"Alat Listrik ",,"Amplas Roll HC no 240",,,5839,12000,12000,0,Ya,0,Ya,Ya,1,@1M,0,,12000,,,0,0
2,"Alat Listrik ",,"AVITEX PAIL SW @25kg",,"Modal subsidi 3L minyak Rp 37.500",708022,860000,860000,0,Ya,0,Ya,Ya,0,,0,,860000,,,0,0
3,"Alat Listrik ",,"Avitex wizz pail SW @25kg",,,579262,650000,650000,0,Ya,0,Ya,Ya,0,,0,,650000,,,0,0
4,"Alat Listrik ",,"BAUT SPANDEKS LION 2 INC",,,467,650,650,0,Ya,1150,Ya,Ya,1,PCS,0,,650,,,0,0
5,"Alat Listrik ",47507827,"Bola Pijar Besar 5W",,,4750,10000,0,0,Ya,4,Ya,Tidak,0,,0,,0,,,0,0
6,"Alat Listrik ",37502998,"Bola Pijar Kecil 5W",,,3750,7000,0,0,Ya,3,Ya,Tidak,0,,0,,0,,,0,0
7,"Alat Listrik ",,"Cok Cabang 3 VISALUX",,,4250,10000,10000,0,Ya,8,Ya,Tidak,0,,0,,10000,,,0,0
8,"Alat Listrik ",,"COK RAUN PIOLINE 2L-5M",,,20000,30000,30000,0,Ya,4,Ya,Ya,0,,0,,30000,,,0,0
9,"Alat Listrik ",1950020,"Cok Raun Pioline 3L-5M",,,20970,33000,33000,0,Ya,5,Ya,Tidak,0,,0,,33000,,,0,0
10,"Alat Listrik ",205009091,"Cok Raun Pioline 5L-5M",,,22961,38000,0,0,Ya,8,Ya,Tidak,0,,0,,0,,,0,0
11,"Alat Listrik ",,"Cok Raun Putar",,,22000,38000,38000,0,Ya,5,Ya,Ya,0,,0,,38000,,,0,0
12,"Alat Listrik ",245005742,"EcoKing 20W ",,,24500,35000,0,0,Ya,0,Ya,Tidak,0,,0,,0,,,0,0
13,"Alat Listrik ",,"Ecoking 20w otomatis",,,54000,75000,75000,0,Ya,0,Ya,Ya,0,,0,,75000,,,0,0
14,"Alat Listrik ",350007049,"EcoKing 30W",,,35000,45000,0,0,Ya,1,Ya,Tidak,0,,0,,0,,,0,0
15,"Alat Listrik ",500005561,"EcoKing 40W",,,50000,70000,70000,0,Ya,0,Ya,Tidak,0,,0,,70000,,,0,0
16,"Alat Listrik ",105008835,"EcoKing 5W",,,10500,20000,0,0,Ya,1,Ya,Tidak,0,,0,,0,,,0,0
17,"Alat Listrik ",,"Elbo Listrik",,,489,1000,1000,0,Ya,135,Ya,Tidak,0,,0,,1000,,,0,0
18,"Alat Listrik ",,"Elbow 4 power D",,,27535,39000,39000,0,Ya,8,Ya,Ya,0,,0,,39000,,,0,0
19,"Alat Listrik ",,"Ensel SSK 4 inc",,,6458,18000,18000,0,Ya,24,Ya,Ya,0,,1,SLR,18000,,,0,0
20,"Alat Listrik ",,"Fiting Gantung Hoshi",,,1750,5000,5000,0,Ya,11,Ya,Ya,0,,0,,5000,,,0,0
21,"Alat Listrik ",28505816,"Fiting Gantung Visalux",,,3000,6000,6000,0,Ya,1,Ya,Tidak,0,,0,,6000,,,0,0
22,"Alat Listrik ",55009198,"Fiting Kombinasi Tofuda",,,4764,10000,10000,0,Ya,19,Ya,Tidak,0,,0,,10000,,,0,0
23,"Alat Listrik ",28509166,"Fiting Plafon TFD KECIL",,,2850,6000,6000,0,Ya,0,Ya,Tidak,0,,0,,6000,,,0,0
24,"Alat Listrik ",45004864,"Fiting Plafon Tofuda BESAR",,,4500,10000,10000,0,Ya,0,Ya,Tidak,0,,0,,10000,,,0,0
25,"Alat Listrik ",47501287,"FITING PLAFON VISALUX",,,5750,10000,10000,0,Ya,46,Ya,Tidak,0,,0,,10000,,,0,0
26,"Alat Listrik ",,"GOROK AYAM",,,25000,45000,45000,0,Ya,1,Ya,Ya,0,,1,AYM,45000,,,0,0
27,"Alat Listrik ",,"GRINDA BOSCH",,,70000,95000,95000,0,Ya,1,Ya,Ya,0,,0,,95000,,,0,0
28,"Alat Listrik ",,Hannochs,,,10994,23000,23000,0,Ya,4,Ya,Ya,0,,1,6W,23000,,,0,0
29,"Alat Listrik ",,"Javotex 20w otomatis",,,34000,58000,58000,0,Ya,0,Ya,Ya,0,,0,,58000,,,0,0
30,"Alat Listrik ",19446921,"Kabel HSC BIRU 50 (ECER)",,,1833,4000,4000,0,Ya,26.5,Ya,Tidak,0,,0,,4000,,,0,0
31,"Alat Listrik ",27778668,"Kabel HSC HIJAU 80 (ECER)",,,2611,5000,5000,0,Ya,90,Ya,Tidak,0,,0,,5000,,,0,0
32,"Alat Listrik ",13887027,"Kabel HSC MERAH 30 (ECER) ",,,1389,3000,3000,0,Ya,60,Ya,Tidak,0,,0,,3000,,,0,0
33,"Alat Listrik ",,"Kabel telpon 500M",,,2400,3500,3500,0,Ya,490,Ya,Ya,1,@1M,0,,3500,,,0,0
34,"Alat Listrik ",,"Kabel TETRA putih 0,75",,,2200,5000,5000,0,Ya,224.5,Ya,Tidak,1,@Ecer,0,,5000,,,0,0
35,"Alat Listrik ",180003787,"Kawachi 11W",,,18000,25000,0,0,Ya,5,Ya,Tidak,0,,0,,0,,,0,0
36,"Alat Listrik ",180003751,"Kawachi 14W",,,18000,26000,0,0,Ya,5,Ya,Tidak,0,,0,,0,,,0,0
37,"Alat Listrik ",280008619,"Kawachi 25W",,,28000,37000,0,0,Ya,2,Ya,Tidak,0,,0,,0,,,0,0
38,"Alat Listrik ",360002687,"Kawachi 30W",,,36000,43000,0,0,Ya,1,Ya,Tidak,0,,0,,0,,,0,0
